Asset Tag,Asset Type,Asset Type Description,Site,Location,Serial No,Manufacturer,Model,Category,Category,Category,Category,Category,Category,Category,Category,Grade,Grade,Grade,Grade,Physics,Chemistry,Biology,Science,Math
1202,Vernier Photogate,A general purpose photogate attachment for Vernier LabQuest.,Stephens Hall,STPH 120,,Vernier Software & Technology,VPG-BTD,,,,,,,,,,,,,,,,,
1203,Vernier Photogate,A general purpose photogate attachment for Vernier LabQuest.,Stephens Hall,STPH 120,,Vernier Software & Technology,VPG-BTD,,,,,,,,,,,,,,,,,
1204,Vernier Photogate,A general purpose photogate attachment for Vernier LabQuest.,Stephens Hall,STPH 120,,Vernier Software & Technology,VPG-BTD,,,,,,,,,,,,,,,,,
1205,Salinity Sensor,A probe for use with Vernier LabQuest that measures the conductivity of a solution to determine salinity.,Stephens Hall,STPH 120,,Vernier Software & Technology,SAL-BTA,,,,,,,,,,,,,,,,,
1206,Salinity Sensor,A probe for use with Vernier LabQuest that measures the conductivity of a solution to determine salinity.,Stephens Hall,STPH 120,,Vernier Software & Technology,SAL-BTA,,,,,,,,,,,,,,,,,
1207,Salinity Sensor,A probe for use with Vernier LabQuest that measures the conductivity of a solution to determine salinity.,Stephens Hall,STPH 120,,Vernier Software & Technology,SAL-BTA,,,,,,,,,,,,,,,,,
1208,Salinity Sensor,A probe for use with Vernier LabQuest that measures the conductivity of a solution to determine salinity.,Stephens Hall,STPH 120,,Vernier Software & Technology,SAL-BTA,,,,,,,,,,,,,,,,,
1209,Salinity Sensor,A probe for use with Vernier LabQuest that measures the conductivity of a solution to determine salinity.,Stephens Hall,STPH 120,,Vernier Software & Technology,SAL-BTA,,,,,,,,,,,,,,,,,
1210,Salinity Sensor,A probe for use with Vernier LabQuest that measures the conductivity of a solution to determine salinity.,Stephens Hall,STPH 120,,Vernier Software & Technology,SAL-BTA,,,,,,,,,,,,,,,,,
1211,Salinity Sensor,A probe for use with Vernier LabQuest that measures the conductivity of a solution to determine salinity.,Stephens Hall,STPH 120,,Vernier Software & Technology,SAL-BTA,,,,,,,,,,,,,,,,,
1212,Microphone Probe,An attachment for the Vernier LabQuest.,Stephens Hall,STPH 120,,Vernier Software & Technology,MCA-BTA,,,,,,,,,,,,,,,,,
1213,Microphone Probe,An attachment for the Vernier LabQuest.,Stephens Hall,STPH 120,,Vernier Software & Technology,MCA-BTA,,,,,,,,,,,,,,,,,
1214,Microphone Probe,An attachment for the Vernier LabQuest.,Stephens Hall,STPH 120,,Vernier Software & Technology,MCA-BTA,,,,,,,,,,,,,,,,,
1215,Microphone Probe,An attachment for the Vernier LabQuest.,Stephens Hall,STPH 120,,Vernier Software & Technology,MCA-BTA,,,,,,,,,,,,,,,,,
1216,Microphone Probe,An attachment for the Vernier LabQuest.,Stephens Hall,STPH 120,,Vernier Software & Technology,MCA-BTA,,,,,,,,,,,,,,,,,
1217,Microphone Probe,An attachment for the Vernier LabQuest.,Stephens Hall,STPH 120,,Vernier Software & Technology,MCA-BTA,,,,,,,,,,,,,,,,,
1218,Microphone Probe,An attachment for the Vernier LabQuest.,Stephens Hall,STPH 120,,Vernier Software & Technology,MCA-BTA,,,,,,,,,,,,,,,,,
1219,Microphone Probe,An attachment for the Vernier LabQuest.,Stephens Hall,STPH 120,,Vernier Software & Technology,MCA-BTA,,,,,,,,,,,,,,,,,
